Result Number;Titolo;Descrizione;Immagine;Data;Link
105;DIECI NOTTI AL MUSEO;Galleria d'Arte Moderna Mattino d'estate di Alerado Terzi ore 20:00. Mediterranea Chamber Orchestra - Concerto del quartetto d'archi ore 21:30. Sabato 24 agosto (ultimo ingresso ore 23:00).;http://www.comune.palermo.it/img/news/galleria_artemoderna_05.png;24-AGO-13;http://www.comune.palermo.it/noticext.php?id=2496
106;DIECI NOTTI AL MUSEO;Museo Pitrè - L'albero del canto. Diario delle tradizioni di famiglia, omaggio al Maestro Giovanni Varvaro. Venerdì 23 agosto ore 21:00.;http://www.comune.palermo.it/img/news/museo_pitre.png;23-AGO-13;http://www.comune.palermo.it/noticext.php?id=2495
107;DIECI NOTTI AL MUSEO;Galleria d'arte Moderna Antonella Purpura commenta il dipinto La Traviata ore 21:00. Aria's concert - concerto arie verdiane ore 21:30. Mercoledì 14 agosto;http://www.comune.palermo.it/img/news/galleria_artemoderna_02.png;14-AGO-13;http://www.comune.palermo.it/noticext.php?id=2494
108;DIECI NOTTI AL MUSEO;Palazzo Ziino - Concerto del Blue Note Sax Quartet ore 21:00. Sabato 10 agosto - Apertura serale della Gipsoteca dalle ore 19:00 alle ore 24:00 (ultimo ingresso ore 23:00).;http://www.comune.palermo.it/img/news/palazzoziino_01.png;10-AGO-13;http://www.comune.palermo.it/noticext.php?id=2493
109;SECONDA EDIZIONE DI ESTATE AL VERDURA;Ensamble Naviganti d'arte - Da una p'Arte all'altra Martedì 6 agosto alle ore 21:15 - Teatro di Verdura, via del Fante 70/B;http://www.comune.palermo.it/img/news/verdura.png;06-AGO-13;http://www.comune.palermo.it/noticext.php?id=2370
110;SECONDA EDIZIONE DI ESTATE AL VERDURA;Enrico Rava Tribe feat. G. Petrella. Martedì 30 luglio alle ore 21:15 - Teatro di Verdura, via del Fante 70/B;http://www.comune.palermo.it/img/news/verdura.png;30-LUG-13;http://www.comune.palermo.it/noticext.php?id=2369
111;PICCHI' CHI E' ?;"Il regista Giuseppe Carleo presenta il film-documentario ""Picchì chi è ?"". Il film verrà proiettato sabato 15 giugno 2013 alle ore 21:00 presso la sala De Seta nell'ambito del Palermo Pride village 2013. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/picchi.png;15-GIU-13;http://www.comune.palermo.it/noticext.php?id=1973
112;I COLORI DEL CUORE;"Mostra Collettiva di C.Mauro, M.R. Potestio, T.Sampieri "" I Colori del Cuore"" - dal 14 al 20 Giugno 2013 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/potestio_01.png;14-GIU-13;http://www.comune.palermo.it/noticext.php?id=2052
113;OBIETTIVO BIRMANIA;"""Obiettivo Birmania"" mostra fotografica di Marcella Croce dal 7 al 13 Giugno 2013 - Villa Niscemi (piazza dei Quartieri,2). Il 7 Giugno saranno esposti anche dipinti e miniature orientali appartenenti a collezioni private.";http://www.comune.palermo.it/img/news/birmania_01.png;07-GIU-13;http://www.comune.palermo.it/noticext.php?id=2008
114;FUOCO BALLATA TRISTE;"Nell'ambito delle iniziative culturali dell'amministrazione comunale, si terrànno le rappresentazioni teatrali ""FUOCO"" e ""Mary Poppins"" presso l'Associazione liberiteatri via delle Balate 3/5 e presso il Teatro Lelio via Furitano 5/B Palermo";http://www.comune.palermo.it/img/news/ballata_triste.jpg;06-GIU-13;http://www.comune.palermo.it/noticext.php?id=2027
