Result Number;Titolo;Descrizione;Immagine;Data;Link
164;389° FESTINO DI SANTA ROSALIA;"'AZIZA - Inagurazione della prima esposizione di arte contemporanea pubblica. Zac, Cantieri Culturali alla Zisa, giovedì 11 luglio ore 18,00. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;11-LUG-13;http://www.comune.palermo.it/noticext.php?id=2260
165;389° FESTINO DI SANTA ROSALIA;NOTE PER DOMANI - concerto di OPRP - Orchestra Popolare Rosa Parks. Piazza San Domenico, mercoledì 10 luglio ore 10,00.;http://www.comune.palermo.it/img/news/festino2013.png;10-LUG-13;http://www.comune.palermo.it/noticext.php?id=2259
166;389° FESTINO DI SANTA ROSALIA;"NOTE PER DOMANI - Concerto di Tartamella and the Melody Makers. Piazza San Domenico, martedì 9 luglio ore 21,30. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;09-LUG-13;http://www.comune.palermo.it/noticext.php?id=2258
167;SPETTACOLI GRATUITI OPERA DEI PUPI FIGLI D'ARTE CUTICCHIO;"Presso il Teatro di via Bara all'Olivella, 95 si terrà nei giorni 19, 20 e 21 luglio alle ore 18.30 lo spettacolo ""Prime imprese di Rinaldo"" ; nei giorni 25, 26, 27 e 28 luglio alle ore 18.30 si rappresenterà lo spettacolo ""Arrivo di Angelica a Parigi""";http://www.comune.palermo.it/img/news/cuticchio_2.jpg;09-LUG-13;http://www.comune.palermo.it/noticext.php?id=2292
168;389° FESTINO DI SANTA ROSALIA;"NOTE PER DOMANI - Concerto di Le Divas. Piazza San Domenico, lunedì 8 luglio ore 21,30. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;08-LUG-13;http://www.comune.palermo.it/noticext.php?id=2251
169;389° FESTINO DI SANTA ROSALIA;"NOTE PER DOMANI - Concerto di No Hay Problema. Piazza San Domenico, domenica 7 luglio ore 21,30. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;07-LUG-13;http://www.comune.palermo.it/noticext.php?id=2257
170;389° FESTINO DI SANTA ROSALIA;Palermo 3000 - LA CITTA' CHE VORREI - Inagurazione del salotto Metropolitano (fino al 14 luglio). Con l'istallazione TULONG di Domenico Pellegrino. Piazza S. Domenico, domenica 7 luglio ore 19,00.;http://www.comune.palermo.it/img/news/festino2013.png;07-LUG-13;http://www.comune.palermo.it/noticext.php?id=2244
171;SEMINARIO INTERNAZIONALE WATERFRONT;"19 luglio, ore 9.00 presso la Galleria d’Arte Moderna sita in Via Sant’Anna n. 21 si svolgerà il Seminario Internazionale "" WaterFront: scenari per la Costa Sud Palermo""";http://www.comune.palermo.it/img/news/waterfront_105.jpg;17-LUG-13;http://www.comune.palermo.it/noticext.php?id=2343
172;PROGETTO DI EDUCAZIONE AMBIENTALE;"L’associazione "" VELANZIGNU"" affronta il tema dell’educazione ambientale arrivando a bordo di una barca a vela lungo la rotta della Sicilia occidentale per incontrare i ragazzi di 5 comuni costieri, dal 17 al 26 Luglio 2013. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/favignana_01.png;17-LUG-13;http://www.comune.palermo.it/noticext.php?id=2271
173;389° FESTINO DI SANTA ROSALIA;"Solenne Processione dell'Urna Argentea - dalla Cattedrale a piazza Marina lunedì 15 luglio ore 18,30. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;15-LUG-13;http://www.comune.palermo.it/noticext.php?id=2222
174;389° FESTINO DI SANTA ROSALIA;Piano della Cattedrale, Cassaro, Foro Italico domenica 14 luglio ore 20,00. 389° Festino - Dedicato a chi fa il futuro;http://www.comune.palermo.it/img/news/festino2013.png;14-LUG-13;http://www.comune.palermo.it/noticext.php?id=2221
175;389° FESTINO DI SANTA ROSALIA;Musica per Rosalia - Concerto del Coro lirico barocco del Conservatorio Bellini - Piano della Cattedrale sabato 13 luglio ore 19,00.;http://www.comune.palermo.it/img/news/festino2013.png;13-LUG-13;http://www.comune.palermo.it/noticext.php?id=2220
176;DALL' ALBA AL TRAMONTO E DAL TRAMONTO ALL' ALBA;"Il Fotografo Carlo Greco presenta la Collettiva fotografica tratta dalle omonime sessioni di Workshop Fotografico realizzate a Palermo "" Dall'Alba al Tramonto e dal Tramonto all'Alba"" - Percezioni e Immaterialità vissute dietro un obiettivo - dal 12 al 25 luglio 2013 presso la Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/greco_01.png;12-LUG-13;http://www.comune.palermo.it/noticext.php?id=2204
177;389° FESTINO DI SANTA ROSALIA;DEL FUTURO - PAROLE, SUONI, IMMAGINI DEL TEMPO CHE VERRA' - Conferenza pubblica. Atrio della Galleria d'Arte Moderna, venerdì 12 luglio ore 21,30.;http://www.comune.palermo.it/img/news/festino2013.png;12-LUG-13;http://www.comune.palermo.it/noticext.php?id=2264
178;389° FESTINO DI SANTA ROSALIA;SANTA ROSALIA RITROVATA - Dipinti di Santa Rosalia restaurati ed esposti per la prima volta. Palazzo Abatellis, Palazzo Mirto venerdì 12 luglio ore 18,00.;http://www.comune.palermo.it/img/news/festino2013.png;12-LUG-13;http://www.comune.palermo.it/noticext.php?id=2263
179;389° FESTINO DI SANTA ROSALIA;"APE BIANCA - INSTALLAZIONE DI ANDREA DI MARCO - Inagurazione. Molo Sailem, venerdì 12 luglio ore 17,00. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;12-LUG-13;http://www.comune.palermo.it/noticext.php?id=2262
180;389° FESTINO DI SANTA ROSALIA;"NOTE PER DOMANI - Concerto di Le Matrioske. Piazza San Domenico venerdì 12 luglio ore 21,30. Evento realizzato nell'ambito delle celebrazioni del 389° Festino di S.Rosalia dedicato quest'anno a "" chi fa il futuro""";http://www.comune.palermo.it/img/news/festino2013.png;12-LUG-13;http://www.comune.palermo.it/noticext.php?id=2265
181;I DIRITTI NEGATI AL POPOLO EELAM TAMIL;"Il Comune di Palermo con la collaborazione del Consiglio dei Eelam Tamil in Italia presentano: "" I Diritti negati al Popolo Eelam Tamil"". Domenica 3 Marzo ore 10:00 presso la Sala ""V. De Seta"" - Cantieri Culturali alla Zisa.";http://www.comune.palermo.it/img/news/tamil_01.png;03-MAR-13;http://www.comune.palermo.it/noticext.php?id=1364
182;PERSONALE DI ALDO PARMIGIANI;"Associazione Culturale Artemide:"" Emozioni"" personale di Aldo Parmigiani dal 02/03/2013 al 14/03/2013 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/parmigiani_01.png;02-MAR-13;http://www.comune.palermo.it/noticext.php?id=1377
183;COLLETTIVA DI PITTURA;"Mostra Collettiva di pittura : "" I Colori della vita"" Arch.Rosita Cusimano, Sara Leone, Giuseppe D'Angelo, Ester Ferrante - dal 23/02/2013 al 28/02/2013 - Galleria di Villa Niscemi (Piazza dei Quartieri,2).";http://www.comune.palermo.it/img/news/coloridellavita_01.png;23-FEB-13;http://www.comune.palermo.it/noticext.php?id=1332
184;INTERNATIONAL OPEN DATA DAY 2013;#OPENDATA - Evento co-creativo per l’Open Data a Palermo in occasione della International Open Data Day 2013 L'evento si svolgerà il 23 febbraio 2013, ore 9.30-18-00, presso la Ex Reale Fonderia, Piazza Fonderia, Palermo;http://www.comune.palermo.it/img/news/open_data.png;19-FEB-13;http://www.comune.palermo.it/noticext.php?id=1314
185;CONVEGNO COMUNICAZIONE UNICA - STARWEB;La Comunicazione Unica con StarWeb e il SUAP on line: Semplificazione e Trasparenza. LUNEDI 18 febbraio 2013 ODCEC di PALERMO - Sala convegni Via Ruggero Settimo, 55;http://www.comune.palermo.it/img/news/starweb.png;18-FEB-13;http://www.comune.palermo.it/noticext.php?id=1249
186;PERSONALE DI LAVINIA ABBATE;"Lavinia Abbate: "" Arte Differenziata "" - pittura e design del riuso riciclando oggetti in disuso - dal 15/02/2013 al 21/02/2013 Galleria di Villa Niscemi (Piazza dei Quartieri,2).";http://www.comune.palermo.it/img/news/abbate_01.png;15-FEB-13;http://www.comune.palermo.it/noticext.php?id=1266
187;PERSONALE DI MAURO CONOSCENTI;Mauro Conoscenti: Mostra personale di pittura dal 08/02/2013 al 14/02/2013 - Galleria di Villa Niscemi (Piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/conoscenti_01.png;08-FEB-13;http://www.comune.palermo.it/noticext.php?id=1232
188;PERSONALE DI LOREDANA ANDRIOLO;"Loredana Andriolo: "" I colori dentro di me "" mostra personale dal 01/02/2013 al 07/02/2013 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/andriolo_01.png;01-FEB-13;http://www.comune.palermo.it/noticext.php?id=1189
189;FESTIVAL DELLA CULTURA CINESE;Officina Creativa Interculturale:Tre giorni per scoprire la cultura cinese a Palermo dall' 1 al 3 febbraio 2013. L'evento ha avuto il patrocinio del Comune di Palermo.;http://www.comune.palermo.it/img/news/cultura_cinese_01.png;01-FEB-13;http://www.comune.palermo.it/noticext.php?id=1188
190;LO STUDIO BASILE;""" Lo studio Basile, crocevia di arti e mestieri"" mostra storico-documentaria e di disegni - Archivio Storico Comunale via Maqueda, 157 dal 01/02/2013 al 23/02/2013.";http://www.comune.palermo.it/img/news/studio-basile_01.png;01-FEB-13;http://www.comune.palermo.it/noticext.php?id=1198
191;MOSTRA PERSONALE DI PITTURA PIETRA BORDONARO;"Pietra Bordonaro in arte ""Bora"" - ""Festa dei colori"" mostra personale - dal 17/09/2010 al 23/09/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/bordonaro_01.png;17-SET-10;http://www.comune.palermo.it/noticext.php?id=860
192;MOSTRA DI PITTURA IGNAZIO HASSAN;Ignazio Hassan - mostra di pittura - dal 10/09/2010 al 16/09/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/ignazio_hassan_01.png;10-SET-10;http://www.comune.palermo.it/noticext.php?id=859
193;MOSTRA COLLETTIVA;"""Amici della sapienza"" Accademia internazionale - Onlus fondata da n.g. Bruno (Messina)mostra collettiva - dal 03/09/2010 al 09/09/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/villa_niscemi_01.png;03-SET-10;http://www.comune.palermo.it/noticext.php?id=857
194;MOSTRA DI PITTURA FABIO VENTIMIGLIA;"Fabio Ventimiglia - mostra di pittura ""Le mie rose le sue rose"" - dal 23/07/2010 al 29/07/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/ventimiglia_01.png;23-LUG-10;http://www.comune.palermo.it/noticext.php?id=855
195;CONCORSO FOTOGRAFICO E PITTURA ANNA GABRIELE A.E C.;Anna Gabriele A.e C. - concorso fotografico e pittura - dal 16/07/2010 al 22/07/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/villa_niscemi_01.png;16-LUG-10;http://www.comune.palermo.it/noticext.php?id=853
196;MOSTRA PERSONALE DEI PAESAGGI DI BERNARDO VELA;"Bernardo Vela - ""Palermo citta' di mare"" personale di pittura - dal 09/07/2010 al 14/07/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/vela_01.png;09-LUG-10;http://www.comune.palermo.it/noticext.php?id=852
197;MOSTRA PERSONALE DI PITTURA LOREDANA PASTA;Loredana Pasta - mostra personale di pittura - dal 25/06/2010 al 01/07/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/pasta_01.png;25-GIU-10;http://www.comune.palermo.it/noticext.php?id=845
198;MOSTRA DI PITTURA VIVIANA AMMANNATO;Viviana Ammannato - mostra di pittura - dal 18/06/2010 al 24/06/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/villa_niscemi_02.png;18-GIU-10;http://www.comune.palermo.it/noticext.php?id=844
199;MOSTRA DI PITTURA NUNZIA SAFIA;Nunzia Sofia - mostra di pittura - dal 11/06/2010 al 17/06/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/villa_niscemi_02.png;11-GIU-10;http://www.comune.palermo.it/noticext.php?id=843
200;PERSONALE DI PITTURA ELETTRA SPALLA PIZZORNO;"Elettra Spalla Pizzorno - ""Borghi liguri e fondali marini"" personale di pittura - dal 04/06/2010 al 10/06/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/spalla_pizzorno_01.png;04-GIU-10;http://www.comune.palermo.it/noticext.php?id=842
201;DA QUI ALL' ETERNITA';"Associazione Arca : "" Da qui all'Eternità.."" Il jazz in 100 minuti...di beneficenza, sabato 6 Aprile ore 20.30 presso i Cantieri Culturali alla Zisa. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/concertojazz.png;06-APR-13;http://www.comune.palermo.it/noticext.php?id=1482
202;ASSOCIAZIONE ARTISTICO CULTURALE FRIDA KAHLO;"Associazione Artistico Culturale Frida Kahlo: ""Progetto femmina V edizione 2013""- Mostra collettiva ""Donne dal Mondo"" dal 29/03/2013 al 04/04/2013 - Villa Niscemi- L'evento ha avuto il Patrocinio del Comune di Palermo";http://www.comune.palermo.it/img/news/kalo_01.jpg;29-MAR-13;http://www.comune.palermo.it/noticext.php?id=1555
203;MOSTRA DI CERAMICHE;Sara Bileci - Niny De Nicola Mostra di ceramiche dal 23/03/2013 al 28/03/2013 - Galleria di Villa Niscemi (Piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/ceramica_01.jpg;23-MAR-13;http://www.comune.palermo.it/noticext.php?id=1499
204;FOROM;"""FoRom"" "" Un forum di democrazia partecipativa con i rom e sui rom - giovedì 21 marzo 2013 giornata contro ogni forma di razzismo presso il Circolo Didattico ""De Gasperi"" piazza Papa Giovanni Paolo II n. 24.";http://www.comune.palermo.it/img/news/forom.png;21-MAR-13;http://www.comune.palermo.it/noticext.php?id=1483
205;MAFIA - GIORNATA DELLA MEMORIA E DELL'IMPEGNO;Dal 1996 ogni 21 marzo si celebra la Giornata della Memoria e dell'Impegno per ricordare le vittime innocenti di tutte le mafie. Giovedì, 21 Marzo alle ore 17.30 presso l’Aula Consiliare – Palazzo delle Aquile;http://www.comune.palermo.it/img/news/libera.jpg;21-MAR-13;http://www.comune.palermo.it/noticext.php?id=1508
206;RIORDINO DELLE PROVINCE E CITTÀ METROPOLITANE;Presidenza del Consiglio Comunale Il riodino delle province e la costituzione delle città metropolitane. Analisi e prospettive del percordo fi riforma in sicilia.- Palazzo delle Aquile - Sala delle Lapidi 27/03/2013;http://www.comune.palermo.it/img/news/asael.png;19-MAR-13;http://www.comune.palermo.it/noticext.php?id=1510
207;ASSOCIAZIONE NORDIC WALKING;Associazione Nordic Walking Sabato 16 e Domenica 17 marzo al Giardino Inglese presentazione e prove gratuite di Nordic Walking con istruttori qualificati ANWI (Associazione Nordic Walking Italia) L'evento ha avuto il Patrocinio del Comune di Palermo;http://www.comune.palermo.it/img/news/camminata.png;16-MAR-13;http://www.comune.palermo.it/noticext.php?id=1423
208;PERSONALE DI EMILIA RESTIVO;"Emilia Restivo : "" dal Cuore al Colore"" - personale di pittura dal 16/03/2013 al 21/03/2013 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/restivo_01.png;16-MAR-13;http://www.comune.palermo.it/noticext.php?id=1460
209;MOSTRA COLLETTIVA - EAU;"Mostra collettiva dal titolo ""O"" EAU, a cura di Laura Francesca Di Trapani e organizzata da Caliari Project di Maurizio Veronese. Palazzo Ziino (via Dante, 53) dal 08/03/2013 al 30/03/2013.";http://www.comune.palermo.it/img/news/o_01.png;08-MAR-13;http://www.comune.palermo.it/noticext.php?id=1434
210;ASSAPORA LA VITA;"L'Associazione Arlenika Onlus Progetto Amazzone: organizza l'incontro "" Assapora la Vita "".Grand Hotel et Des Palmes (via Roma 398) giorno 5 Marzo. L'evento ha avuto il Patrocinio del Comune di Palermo.";http://www.comune.palermo.it/img/news/arlenika_01.png;05-MAR-13;http://www.comune.palermo.it/noticext.php?id=1323
211;MOSTRA DI PITTURA ANTONINO BRUNO;"Antonino Bruno - personale di pittura ""Amore e Amori""- dal 19/02/2010 al 15/02/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/bruno_01.png;19-FEB-10;http://www.comune.palermo.it/noticext.php?id=825
212;PERSONALE DI PITTURA ROSANNA D'ADDONA;Rosanna D'Addona: mostra personale di pittura - dal 15/02/2010 al 18/02/2010 - Galleria di Villa Niscemi - (Piazza dei Quartieri, 2);http://www.comune.palermo.it/img/news/daddona_01.png;15-FEB-10;http://www.comune.palermo.it/noticext.php?id=760
213;PERSONALE DI PITTURA EPIFANIO GIOVANNI;"Giovanni Epifanio: ""Paesaggi Nascosti"" - personale di pittura - dal 30/01/2010 al 04/02/2010. Galleria di Villa Niscemi (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/epifanio_01.png;30-GEN-10;http://www.comune.palermo.it/noticext.php?id=753
214;PERSONALE DI PITTURA GIORGIO RAVAZZOLO;Giorgio Ravazzolo - personale di pittura - dal 22/01/2010 al 28/01/2010 - Galleria di Villa Niscemi (piazza dei Quartieri,2);http://www.comune.palermo.it/img/news/villa_niscemi_01.png;22-GEN-10;http://www.comune.palermo.it/noticext.php?id=769
215;PERSONALE DI PITTURA MARIA MAZZOLA;"Maria Mazzola: ""La Natura è un Tempo"" - personale di pittura dal 15/01/2010 al 21/01/2010 - Galleria di Villa Niscemi, (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/maria_mazzola_01.png;15-GEN-10;http://www.comune.palermo.it/noticext.php?id=746
216;MOSTRA PERSONALE DI PITTURA VALERIA LA PIANA;Valeria La Piana - mostra personale di pittura - dal 08/01/2010 al 14/01/2010 - Galleria di Villa Niscemi (piazza dei Quartieri, 2);http://www.comune.palermo.it/img/news/nicoletta_militello_01.png;08-GEN-10;http://www.comune.palermo.it/noticext.php?id=822
217;PERSONALE DI PITTURA EMANUELE DI FRESCO;"Emanuele Di Fresco: ""L'Arte nel Pozzo"" - personale di pittura - dal 06/02/2010 al 11/02/2010 - Galleria di Villa Niscemi, (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/emanuele_di_fresco.png;06-GEN-10;http://www.comune.palermo.it/noticext.php?id=757
218;PCA PALERMO COAST ACTIONS;International Workshop of Architecture and Urban Design edizione 2013-14 Dal 13 al 17 gennaio 2014 presso l’Eco Museo Urbano Mare Memoria Viva (ex deposito delle locomotive).;http://www.comune.palermo.it/img/news/PCA.png;13-GEN-14;http://www.comune.palermo.it/noticext.php?id=3210
219;SACRED ARIAS - ENSEMBLE VIVALDI;"""Sacred Arias"" - Ensemble Vivaldi - Domenica 5 Gennaio 2014 ore 18:30 - Chiesa S.Francesco Saverio - Piazza S.Francesco Saverio.";http://www.comune.palermo.it/img/news/corale.png;05-GEN-14;http://www.comune.palermo.it/noticext.php?id=3314
220;MOSTRA CORNELIA FELLNER;""" La finestra della Sicilia"" -""The window of Sicily""- Acrilico su tela di Cornelia Fellner - dal 4 al 9 gennaio 2014 con il Patrocinio del Comune di Palermo. Galleria d'arte di Villa Niscemi via dei Quartieri,2 Palermo. Inaugura il Console Onorario dell'Austria Dott.ssa Irene Salcher-Cillari sabato 4 gennaio 2014 ore 17.00";http://www.comune.palermo.it/img/news/finestra_sicilia.png;04-GEN-14;http://www.comune.palermo.it/noticext.php?id=3242
221;DUM MEDIUM SILENTIUM;"Il Coro Cum Lubilo presenta ""Dum Medium Silentium"" - Musiche e canti Gregoriani, Rinascimentali, Barocchi, Romantici e della tradizione popolare. Sabato 4 Gennaio 2014 ore 21:15 - cattedrale di Palermo - Corso Vittorio Emanuele";http://www.comune.palermo.it/img/news/corale.png;04-GEN-14;http://www.comune.palermo.it/noticext.php?id=3313
222;NAPULÈ - ENSEMBLE NOVECENTO;"""Napulè"" - Ensemble Novecento. Venerdì 3 Gennaio 2014 ore 15:00 - Casa Circondariale Ucciardone - Via Enrico albanese, 3";http://www.comune.palermo.it/img/news/corale.png;03-GEN-14;http://www.comune.palermo.it/noticext.php?id=3312
223;MIDRASH;"""Midrash"" - Canti dalla Moschita - Sulle tracce di Ester. Giovedì 2 gennaio 2014 ore 21:15 - Basilica SS.Trinità La Magione - Piazza della Magione.";http://www.comune.palermo.it/img/news/corale.png;02-GEN-14;http://www.comune.palermo.it/noticext.php?id=3311
224;RICHIAMI MEDITERRANEI;"""Richiami Mediterranei"" Musiche celtiche e antiche. Lunedì 30 Dicembre 2013 ore 21:15 - Chiesa Immacolata Concezione al Capo - Via Porta Carini.";http://www.comune.palermo.it/img/news/corale.png;30-DIC-13;http://www.comune.palermo.it/noticext.php?id=3310
225;NATALE IN....CANTO;"Il gruppo Polifonico del Balzo, presenta ""Natale in....Canto"". Domenica 29 Dicembre 2013 ore 19:30 - Chiesa S.Anna La Misericordia - P.zza Sant'Anna,6";http://www.comune.palermo.it/img/news/corale.png;29-DIC-13;http://www.comune.palermo.it/noticext.php?id=3309
226;CONCERTO NATALIZIO;"La corale San Gaetano Maria SS.Del Divino Amore presenta "" Concerto Natalizio in omaggio al Beato Don Pino Puglisi"" Sabato 28 Dicembre 2013 ore 19:00 Palazzo delle Aquile Piazza Pretoria 1.";http://www.comune.palermo.it/img/news/corale.png;28-DIC-13;http://www.comune.palermo.it/noticext.php?id=3299
227;NOTE DI NATALE;"Il coro di Sancte Joseph presenta ""Note di Natale"" - Musiche sacre e canti della tradizione natalizia. Venerdi 27 dicembre 2013 ore 21:15 - Chiesa del Gesù di Casa Professa, P.zza Casa Professa, 21";http://www.comune.palermo.it/img/news/corale.png;27-DIC-13;http://www.comune.palermo.it/noticext.php?id=3308
228;PERSONALE DI PITTURA ANTONINO TARAVELLA;"Antonino Taravella: ""Io ti guardo da lontano"" un artista siciliano a Firenze - personale di pittura - dal 26/03/2011 al 31/03/2011. Galleria di Villa Niscemi (Piazza dei Quartieri,2)";http://www.comune.palermo.it/img/news/nino_tavarella_01.png;26-MAR-11;http://www.comune.palermo.it/noticext.php?id=762
229;MOSTRA COLLETTIVA D'ARTE NICOLETTA MILITELLO;"Nicoletta Militello: ""Fino ai confini dell'anima"" - mostra collettiva d'arte"" - dal 1/03/2011 al 24/03/2011. Galleria di Villa Niscemi (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/nicoletta_militello_01.png;18-MAR-11;http://www.comune.palermo.it/noticext.php?id=758
230;MOSTRA D'ARTE MARIO BRUCOLI;"Mario Brucoli: ""Meraiotica"" - mostra d'arte - dal 11/03/2011 al 17/03/2011. Galleria di Villa Niscemi, (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/mario_brucoli_01.png;11-MAR-11;http://www.comune.palermo.it/noticext.php?id=756
231;PERSONALE DI PITTURA SILVIA CAMPIONE;"Silvia Campione: ""I colori dell'anima"" - personale di pittura - dal 04/03/2011 al 10/03/2011. Galleria di Villa Niscemi (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/silvia_campione_01.png;04-MAR-11;http://www.comune.palermo.it/noticext.php?id=752
232;MOSTRA OGGETTISTICA;Rosario Gresti - artista cieco - oggettistica - dal 25/02/2011 al 03/03/2011 - Galleria di Villa Niscemi (piazza dei Quartieri, 2);http://www.comune.palermo.it/img/news/villa_niscemi_01.png;25-FEB-11;http://www.comune.palermo.it/noticext.php?id=817
233;PERSONALE DI PITTURA CHIARA LETO;"Chiara Leto: ""I luoghi e la forma dell'essere"" - personale di pittura - dal 04/02/2011 al 10/02/2011. Galleria di Villa Niscemi ( Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/chiara_leto_01.png;04-FEB-11;http://www.comune.palermo.it/noticext.php?id=750
234;PERSONALE DI PITTURA ELIO SCUDERI;"Elio Scuderi: ""Monocromie Plastiche"" - personale di pittura - dal 28/01/2011 al 03/02/2011. Galleria di Villa Niscemi (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/elio_scuderi_01.png;28-GEN-11;http://www.comune.palermo.it/noticext.php?id=749
235;PERSONALE DI PITTURA ALFIO SORBELLO;"Alfio Sorbello: ""Paesaggio Metropolitano"" - personale di pittura - dal 21/01/2011 al 27/01/2011. Galleria di Villa Niscemi (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/alfio_sorbello_01.png;21-GEN-11;http://www.comune.palermo.it/noticext.php?id=747
236;PERSONALE DI PITTURA CHRISTOPHER SALIBA;"Christopher Saliba: Lux Aeterna ""Sul viaggio della luce"". Personale di pittura dal 14/01/2011 al 20/01/2011. Galleria di Villa Niscemi ( Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/christopher_saliba-01.png;14-GEN-11;http://www.comune.palermo.it/noticext.php?id=744
237;PERSONALE DI PITTURA ORAZIO CAPPELLO;"Orazio Cappello: ""Segni e Carte in un instabile equilibrio"" - personale di pittura dal 07/01/2011 al 13/01/2011 - Galleria di Villa Niscemi, (Piazza dei Quartieri, 2)";http://www.comune.palermo.it/img/news/orazio_cappello_01.png;07-GEN-11;http://www.comune.palermo.it/noticext.php?id=742
238;PERSONALE DI PITTURA TERESA SCIORTINO;"Teresa Sciortino: "" Antologia"" personale di pittura dal 10/12/2010 al 16/12/2010 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/villa_niscemi_02.png;10-DIC-10;http://www.comune.palermo.it/noticext.php?id=821
239;PERSONALE DI ANTONINO NICOLOSI;"Antonino Nicolosi: "" Voglio cambiare il Mondo"" mostra d'arte itinerante dal 03/12/2010 al 09/12/2010 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/nicolosi_01.png;03-DIC-10;http://www.comune.palermo.it/noticext.php?id=847
240;MOSTRA FOTOGRAFIACA DI PIERO PUCCI;"Piero Pucci: "" Non solo Bianco e nero"" mostra fotografica dal 26/11/2010 al 02/12/2010 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/pucci_01.png;26-NOV-10;http://www.comune.palermo.it/noticext.php?id=848
241;MOSTRA COLLETTIVA;"Liceo Artistico Catalano: "" A regola d'Arte"" Disegno, Pittura, Scultura e Architettura nei lavori degli studenti dal 19/11/2010 al 25/11/2010 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/regola_d_arte_01.png;19-NOV-10;http://www.comune.palermo.it/noticext.php?id=851
242;PERSONALE DI PITTURA GIUSEPPE FERRO;Giuseppe Ferro: Mostra personale dal 05/11/2010 al 11/11/2010 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2).;http://www.comune.palermo.it/img/news/ferro_01.png;05-NOV-10;http://www.comune.palermo.it/noticext.php?id=854
243;PERSONALE DI PITTURA DI VINCENZO PATTI;"Vincenzo Patti: "" Pietre come radici"" personale di pittura dal 22/10/2010 al 28/10/2010 - Galleria di Villa Niscemi (Piazza dei Quartieri, 2).";http://www.comune.palermo.it/img/news/patti_01.png;22-OTT-10;http://www.comune.palermo.it/noticext.php?id=856
